<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
XAUAUD,20070508,00:00:00,835.2741,823.9275,835.2741,827.7153
XAUAUD,20070509,00:00:00,827.6362,815.6243,829.0174,822.4129
XAUAUD,20070510,00:00:00,822.2921,801.5931,822.5339,807.5385
XAUAUD,20070511,00:00:00,807.1516,802.2348,808.5236,806.8319
XAUAUD,20070514,00:00:00,806.8783,800.6489,810.0613,804.6875
XAUAUD,20070515,00:00:00,804.4707,799.1828,807.3185,806.2890
XAUAUD,20070516,00:00:00,806.0221,800.2669,809.8592,803.4001
XAUAUD,20070517,00:00:00,803.4001,795.9333,805.1032,798.2019
XAUAUD,20070518,00:00:00,798.3959,797.4976,804.0286,802.3312
XAUAUD,20070521,00:00:00,802.7674,802.6396,809.0997,807.3082
XAUAUD,20070522,00:00:00,807.3082,802.4390,808.6819,804.3956
XAUAUD,20070523,00:00:00,804.6398,798.5681,805.2645,803.7929
XAUAUD,20070524,00:00:00,803.5975,794.2718,805.9647,799.0957
XAUAUD,20070525,00:00:00,798.8513,796.9815,801.6873,800.9288
XAUAUD,20070528,00:00:00,800.9288,799.1213,801.5640,799.8047
XAUAUD,20070529,00:00:00,800.1465,798.6340,807.7580,802.5431
XAUAUD,20070530,00:00:00,802.5431,792.7392,805.2122,793.4889
XAUAUD,20070531,00:00:00,793.6817,793.3171,799.8306,798.6699
XAUAUD,20070601,00:00:00,799.2259,796.6940,807.1463,805.6724
XAUAUD,20070604,00:00:00,805.8859,803.0721,808.2603,803.7876
XAUAUD,20070605,00:00:00,803.6912,799.4745,805.6355,800.0717
XAUAUD,20070606,00:00:00,799.9761,789.0365,801.7426,796.6484
XAUAUD,20070607,00:00:00,796.7431,781.4577,797.2651,784.7362
XAUAUD,20070608,00:00:00,783.8449,765.3001,785.0012,769.0849
XAUAUD,20070611,00:00:00,768.7478,768.2103,776.6967,774.6412
XAUAUD,20070612,00:00:00,774.7598,767.0826,775.9459,770.3571
XAUAUD,20070613,00:00:00,770.4762,766.8814,776.0981,775.6998
XAUAUD,20070614,00:00:00,775.3425,773.9172,782.6868,780.0527
XAUAUD,20070615,00:00:00,780.1724,775.9217,781.9945,777.9890
XAUAUD,20070618,00:00:00,778.7022,777.4742,782.8931,778.5164
XAUAUD,20070619,00:00:00,778.7937,774.4076,782.0998,781.1134
XAUAUD,20070620,00:00:00,780.8770,772.2268,782.2848,775.0890
XAUAUD,20070621,00:00:00,775.1156,765.1228,776.6979,768.9492
XAUAUD,20070622,00:00:00,768.9492,767.0555,773.2702,772.4318
XAUAUD,20070625,00:00:00,770.9906,764.4077,771.6173,767.9414
XAUAUD,20070626,00:00:00,768.0321,756.1407,770.6411,757.8661
XAUAUD,20070627,00:00:00,757.8661,756.4179,769.7730,766.9370
XAUAUD,20070628,00:00:00,766.9370,762.2312,768.0663,765.3519
XAUAUD,20070629,00:00:00,765.5881,760.7571,767.9076,765.3928
XAUAUD,20070702,00:00:00,762.0556,759.8784,767.8488,764.7607
XAUAUD,20070703,00:00:00,764.5552,762.9300,768.2143,764.4855
XAUAUD,20070704,00:00:00,764.3961,761.5940,765.7457,762.7435
XAUAUD,20070705,00:00:00,763.0935,754.2056,764.7882,758.5885
XAUAUD,20070706,00:00:00,758.6771,754.1808,763.9650,763.8759
XAUAUD,20070709,00:00:00,764.0750,761.1524,770.4480,767.2093
XAUAUD,20070710,00:00:00,767.2093,765.7177,771.5082,769.9454
